Date,Open,High,Low,Close,Volume,Symbol
2018-01-02,6.49,6.83,6.46,6.81,3657426,ACB
2018-01-03,6.81,6.86,6.67,6.79,5056543,ACB
2018-01-04,6.79,6.83,6.74,6.81,6365641,ACB
2018-01-05,6.84,6.93,6.74,6.81,6453452,ACB
2018-01-08,6.81,7.04,6.81,7.04,3879771,ACB
2018-01-09,7.05,7.14,6.84,7.07,4745410,ACB
2018-01-10,7.11,7.14,6.91,6.98,4638024,ACB
2018-01-11,6.98,7.02,6.84,7.02,4924236,ACB
2018-01-12,7.02,7.05,6.83,6.86,7568499,ACB
2018-01-15,6.86,6.9,6.72,6.84,3366618,ACB
2018-01-16,6.84,6.9,6.76,6.81,3387031,ACB
2018-01-17,6.81,7.05,6.79,6.84,4081715,ACB
2018-01-18,6.72,6.93,6.72,6.93,3733257,ACB
2018-01-19,6.95,7.09,6.88,6.93,4677507,ACB
2018-01-22,6.93,7.11,6.93,7.05,4545380,ACB
2018-01-23,7.11,7.34,7.05,7.27,7923102,ACB
2018-01-24,7.32,7.42,7.21,7.21,4139581,ACB
2018-01-25,7.23,7.49,7.07,7.34,8429425,ACB
2018-01-26,7.37,7.46,7.25,7.39,4970555,ACB
2018-01-29,7.37,7.51,7.35,7.37,4937869,ACB
2018-01-30,7.35,7.35,7.23,7.3,3927399,ACB
2018-01-31,7.3,7.46,7.28,7.32,6436073,ACB
2018-02-01,7.32,7.35,7.14,7.2,6434280,ACB
2018-02-02,7.2,7.32,7.18,7.28,3810505,ACB
2018-02-05,7.3,7.39,7.0,7.02,5066909,ACB
2018-02-06,6.77,6.93,6.34,6.83,7329750,ACB
2018-02-07,6.86,7.35,6.86,7.14,2625378,ACB
2018-02-08,7.14,7.23,6.93,6.93,2011871,ACB
2018-02-09,6.41,7.05,6.41,7.0,3861562,ACB
2018-02-12,7.14,7.37,7.14,7.37,2149455,ACB
2018-02-13,7.46,7.74,7.37,7.67,5453039,ACB
2018-02-21,7.67,7.95,7.67,7.81,3300915,ACB
2018-02-22,7.86,7.9,7.7,7.76,3505413,ACB
2018-02-23,7.76,7.9,7.7,7.84,4133818,ACB
2018-02-26,7.86,8.11,7.86,7.95,10048941,ACB
2018-02-27,7.97,8.16,7.93,8.14,4107205,ACB
2018-02-28,8.16,8.32,8.04,8.25,4274179,ACB
2018-03-01,8.25,8.34,8.02,8.07,5379316,ACB
2018-03-02,8.07,8.2,7.93,8.16,5264337,ACB
2018-03-05,8.16,8.27,7.72,7.72,6171135,ACB
2018-03-06,7.72,8.06,7.7,8.06,4279645,ACB
2018-03-07,8.07,8.14,7.88,7.93,5017215,ACB
2018-03-08,8.04,8.04,7.9,7.95,4041111,ACB
2018-03-09,7.98,8.23,7.97,8.21,4829484,ACB
2018-03-12,8.25,8.53,8.25,8.53,4944538,ACB
2018-03-13,8.55,8.63,8.42,8.63,3683159,ACB
2018-03-14,8.86,8.95,8.6,8.63,2974601,ACB
2018-03-15,8.65,8.7,8.53,8.67,4032484,ACB
2018-03-16,8.74,8.9,8.69,8.84,4163554,ACB
2018-03-19,8.95,9.07,8.88,9.07,4889388,ACB
2018-03-20,9.17,9.36,9.07,9.34,4552573,ACB
2018-03-21,9.34,9.42,9.17,9.25,6287554,ACB
2018-03-22,9.25,9.29,9.03,9.07,5892543,ACB
2018-03-23,9.07,9.07,8.59,8.88,6436238,ACB
2018-03-26,8.88,9.13,8.8,9.13,2814607,ACB
2018-03-27,9.19,9.32,9.11,9.17,3305080,ACB
2018-03-28,9.15,9.19,9.01,9.05,2276552,ACB
2018-03-29,9.11,9.11,9.0,9.0,2039780,ACB
2018-03-30,8.88,9.05,8.88,9.01,2092042,ACB
2018-04-02,9.03,9.5,9.03,9.5,4372662,ACB
2018-04-03,9.5,9.56,9.36,9.46,3577394,ACB
2018-04-04,9.46,9.61,9.44,9.48,3555414,ACB
2018-04-05,9.5,9.61,9.46,9.61,3934100,ACB
2018-04-06,9.63,9.92,9.61,9.83,5500996,ACB
2018-04-09,9.85,9.94,9.73,9.86,3474752,ACB
2018-04-10,9.88,9.96,9.67,9.75,4550311,ACB
2018-04-11,9.75,9.83,9.42,9.42,6377260,ACB
2018-04-12,9.29,9.63,9.29,9.63,3604332,ACB
2018-04-13,9.65,9.73,9.34,9.36,3102131,ACB
2018-04-16,9.34,9.48,9.21,9.38,2787061,ACB
2018-04-17,9.38,9.56,9.32,9.56,3122300,ACB
2018-04-18,9.56,9.71,9.4,9.44,3237045,ACB
2018-04-19,9.27,9.46,9.11,9.21,4945285,ACB
2018-04-20,9.27,9.32,9.15,9.29,3450025,ACB
2018-04-23,9.34,9.42,8.49,8.59,8144218,ACB
2018-04-24,8.61,8.76,8.34,8.57,3660608,ACB
2018-04-26,8.59,8.59,7.82,7.84,7285702,ACB
2018-04-27,7.07,8.49,7.07,8.18,4667596,ACB
2018-05-02,8.3,8.32,8.01,8.11,2669126,ACB
2018-05-03,7.64,8.46,7.64,8.4,3695726,ACB
2018-05-04,8.4,8.53,8.34,8.42,2929704,ACB
2018-05-07,8.44,8.88,8.42,8.88,4340830,ACB
2018-05-08,8.88,8.92,8.74,8.76,2703990,ACB
2018-05-09,8.76,8.76,8.51,8.57,2964394,ACB
2018-05-10,8.57,8.65,8.11,8.18,4538604,ACB
2018-05-11,8.18,8.53,8.01,8.49,3944111,ACB
2018-05-14,8.51,8.61,8.4,8.55,1239598,ACB
2018-05-15,8.61,8.74,8.49,8.59,2883487,ACB
2018-05-16,8.55,9.44,8.3,8.3,3938151,ACB
2018-05-17,8.2,8.42,8.2,8.28,2023797,ACB
2018-05-18,8.28,8.38,7.93,8.26,2708148,ACB
2018-05-21,8.32,8.36,8.15,8.15,1908680,ACB
2018-05-22,8.11,8.11,7.74,7.93,4833825,ACB
2018-05-23,7.95,8.01,7.76,8.01,2846035,ACB
2018-05-24,8.05,8.05,7.9,7.91,1360084,ACB
2018-05-25,7.91,8.01,7.7,7.72,3370106,ACB
2018-05-28,7.63,7.68,6.95,6.99,6642188,ACB
2018-05-29,6.29,7.64,6.29,7.59,4694583,ACB
2018-05-30,7.63,7.66,7.39,7.41,3049815,ACB
2018-05-31,7.41,7.72,7.37,7.72,3560671,ACB
2018-06-01,7.72,7.95,7.61,7.82,5402896,ACB
2018-06-04,7.72,8.11,7.63,8.11,5546226,ACB
2018-06-05,8.11,8.17,7.97,8.05,4692768,ACB
2018-06-06,8.05,8.4,7.97,8.36,5668743,ACB
2018-06-07,8.36,8.42,8.18,8.18,5212644,ACB
2018-06-08,8.18,8.38,8.17,8.32,3702961,ACB
2018-06-11,8.34,8.46,8.17,8.22,4129106,ACB
2018-06-12,8.49,8.49,7.8,8.03,6941376,ACB
2018-06-13,8.05,8.15,7.91,8.01,2338458,ACB
2018-06-14,8.01,8.11,7.84,7.84,3797018,ACB
2018-06-15,7.88,8.03,7.76,7.97,3289834,ACB
2018-06-18,7.99,8.07,7.66,7.68,5078608,ACB
2018-06-19,7.68,7.68,7.12,7.53,8643727,ACB
2018-06-20,7.53,7.68,7.45,7.61,2915611,ACB
2018-06-21,7.63,7.63,7.35,7.37,1583386,ACB
2018-06-22,7.35,7.63,7.24,7.61,2637598,ACB
2018-06-25,7.55,7.76,7.35,7.59,2808160,ACB
2018-06-26,7.59,7.59,7.41,7.47,2232783,ACB
2018-06-27,7.53,7.57,7.24,7.24,2689583,ACB
2018-06-28,7.24,7.24,6.93,6.97,5075935,ACB
2018-06-29,6.99,7.1,6.85,6.87,3031531,ACB
2018-07-02,6.87,6.87,6.33,6.43,6858520,ACB
2018-07-03,6.45,6.56,5.91,5.98,7375018,ACB
2018-07-04,5.89,6.18,5.89,6.18,4127586,ACB
2018-07-05,6.04,6.18,5.69,5.77,4948503,ACB
2018-07-06,5.6,6.33,5.6,6.33,7854475,ACB
2018-07-09,6.37,6.58,6.33,6.37,4587386,ACB
2018-07-10,6.37,6.6,6.35,6.54,3244193,ACB
2018-07-11,6.45,6.47,5.98,6.16,7023863,ACB
2018-07-12,6.76,6.76,6.16,6.39,4150902,ACB
2018-07-13,6.39,6.66,5.98,6.6,3940996,ACB
2018-07-16,6.66,6.79,6.6,6.66,3769038,ACB
2018-07-17,6.93,6.93,6.54,6.87,5135363,ACB
2018-07-18,6.95,7.05,6.76,6.99,4359010,ACB
2018-07-19,6.99,6.99,6.79,6.83,6338767,ACB
2018-07-20,6.83,7.1,6.68,7.1,8925712,ACB
2018-07-23,7.12,7.14,6.89,6.89,4970456,ACB
2018-07-24,6.89,7.24,6.66,6.79,4390214,ACB
2018-07-25,7.24,7.24,6.56,6.56,4478560,ACB
2018-07-26,5.91,6.89,5.91,6.72,6326835,ACB
2018-07-27,6.76,6.93,6.74,6.87,4283058,ACB
2018-07-30,6.89,7.05,6.87,6.97,3446870,ACB
2018-07-31,6.95,7.05,6.87,6.91,4169999,ACB
2018-08-01,6.91,6.97,6.78,6.85,3370615,ACB
2018-08-02,6.85,6.87,6.7,6.85,4547726,ACB
2018-08-03,6.91,7.03,6.85,6.85,3765836,ACB
2018-08-06,6.85,6.91,6.74,6.79,2378607,ACB
2018-08-07,6.81,6.91,6.74,6.85,3340719,ACB
2018-08-08,6.87,7.08,6.85,7.08,6086041,ACB
